allocation_scope,count,mission_phase,rejection_reason
executor_only,63,SEARCH,ATOMIC_REJECT_MISSING_LOCAL_CANDIDATES
affected_agents,8,SEARCH,ATOMIC_REJECT_MISSING_SEARCH_ROUTE
stale_searchers,8,SEARCH,ATOMIC_REJECT_MISSING_SEARCH_ROUTE
none,3,SEARCH,OBSTACLE_OFF_ROUTE
none,2,DONE,REJECT_EVENT_COOLDOWN
none,657,EXECUTE_PUBLIC_TARGET,REJECT_EVENT_COOLDOWN
none,1141,SEARCH,REJECT_EVENT_COOLDOWN
none,1,WAIT_PUBLIC_HANDOFF,REJECT_EVENT_COOLDOWN
all_searchers_and_executor,2,SEARCH,REJECT_INSUFFICIENT_RELATIVE_GAIN
executor_public_target,35,EXECUTE_PUBLIC_TARGET,REJECT_NO_ASSIGNMENT_CHANGE
